
---------- Begin Simulation Statistics ----------
simSeconds                                   1.506833                       # Number of seconds simulated (Second)
simTicks                                 1506832631472                       # Number of ticks simulated (Tick)
finalTick                                1506832631472                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38955.80                       # Real time elapsed on the host (Second)
hostTickRate                                 38680571                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680296                       # Number of bytes of host memory used (Byte)
simInsts                                   9772103800                       # Number of instructions simulated (Count)
simOps                                     9772151951                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   250851                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     250852                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           357                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       4220819697                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.431925                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.315218                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9935664770                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4335                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9877555482                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  41723                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            163517153                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         200963190                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 131                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4220716187                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.340256                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.803982                       # Number of insts issued each cycle (Count)
system.cpu.decode.squashCycles                5872655                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved            303877077                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                   448                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts             9976986244                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                  1643                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts          9868321820                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                 19623                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches        349067392                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts      4460744611                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts      705862012                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            2.338011                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads      964883670                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites     985988664                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpRegWrites             0                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads   10594042322                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites   6595990603                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs        5166606623                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads   5730686863                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites    763580440                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numVecRegReads    3803691413                       # Number of times the vector registers were read (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches          311577652                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                    2496847878                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                11746184                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                  104                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.icacheWaitRetryStallCycles          121                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu.fetch.cacheLines                 857849951                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes               1927381                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples         4220716187                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              2.391666                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             3.358948                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0               2670250573     63.27%     63.27% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                 28474766      0.67%     63.94% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                 16802119      0.40%     64.34% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                 38924746      0.92%     65.26% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                294559589      6.98%     72.24% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                182695895      4.33%     76.57% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                 30825798      0.73%     77.30% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                 26442450      0.63%     77.92% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                931740251     22.08%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total           4220716187                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts           10094478735                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             2.391592                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches          355783285                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.084292                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles   1717994992                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.icache.demandHits::cpu.inst      857848856                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total         857848856                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst     857848856                       # number of overall hits (Count)
system.cpu.icache.overallHits::total        857848856                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst         1094                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total            1094                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst         1094                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total           1094                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst     90950388                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total     90950388                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst     90950388                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total     90950388                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst    857849950                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total     857849950                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst    857849950                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total    857849950                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.000001                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.000001                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.000001                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.000001                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 83135.638026                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 83135.638026                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 83135.638026                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 83135.638026                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs         2870                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs           23                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs     124.782609                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.demandMshrHits::cpu.inst          272                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total           272                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst          272                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total          272                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst          822                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total          822                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst          822                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total          822                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst     71680243                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total     71680243                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst     71680243                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total     71680243                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.000001                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.000001                       # mshr miss ratio for demand accesses (Ratio)
